"figure out","ˈfɪɡ.ər aʊt","B2","phrasal verb","to understand or solve something","çözmek, anlamak","solve, decipher","I can't <b>figure out</b> why the code is crashing.","We need to <b>figure out</b> a solution before the deadline.","Figür At","Satranç ustası, rakibini yenmek için hangi <b>Figür</b>ü <b>At</b> (figure out) hamlesiyle yiyeceğini <b>çözmeye</b> çalışıyor."
"resolve","rɪˈzɒlv","C1","verb","to solve or end a problem","çözüme kavuşturmak","settle, solve","We aim to <b>resolve</b> the dispute amicably.","Restarting the computer might <b>resolve</b> the issue.","Rize Ovu","<b>Rize Ovu</b>larında (resolve) gezen dedektif, yıllardır süren arazi davasını nihayet <b>çözüme kavuşturdu</b>."
"sort of conflict","sɔːt ɒv ˈkɒn.flɪkt","B2","phrase","a type of disagreement or clash","bir çeşit çatışma","kind of clash, disagreement","There was a <b>sort of conflict</b> between the two departments.","We are experiencing a <b>sort of conflict</b> in the schedule.","Sırta Konan Flüt","Müzisyen, <b>Sırta Konan Flüt</b> (sort of conflict) yüzünden arkadaşıyla <b>bir çeşit çatışma</b> yaşadı ve kavgaya tutuştu."
"spectacular","spekˈtæk.jə.lər","B2","adj","very exciting to look at","muhteşem, görülmeye değer","magnificent, stunning","The view from the top was absolutely <b>spectacular</b>.","They achieved a <b>spectacular</b> success in the market.","İpek Takılır","Mankenin boynuna o pahalı <b>İpek Takılır</b> (spectacular) takılmaz, herkes bu <b>muhteşem</b> görüntüye hayran kaldı."
"somehow","ˈsʌm.haʊ","B2","adv","in a way that is not known or certain","bir şekilde","in some way, by some means","We must <b>somehow</b> finish this project by tomorrow.","<b>Somehow</b>, he managed to escape unhurt.","Sam Hav","Komşunun köpeği <b>Sam Hav</b> (somehow) hav havlayarak <b>bir şekilde</b> bahçeden kaçmayı başardı."
"gambit","ˈɡæm.bɪt","C2","noun","a calculated move to gain advantage","açılış hamlesi, taktik","maneuver, ploy","His resignation was a tactical <b>gambit</b> to force a vote.","Opening with a joke was a risky <b>gambit</b>.","Gam Bit","Satranç ustası riskli <b>açılış hamlesi</b>ni yaparken rakibine sırıttı: 'Senin <b>Gam</b>ın <b>Bit</b>ti (gambit), mat olacaksın!'"
"through","θruː","A2","prep","from one end or side to the other","içinden, vasıtasıyla","via, by means of","The tunnel goes right <b>through</b> the mountain.","We learnt the news <b>through</b> a friend.","Turu","Rehber, antik kentin <b>içinden</b> geçen <b>Turu</b> (through) tamamlayınca turistleri serbest bıraktı."
"though","ðoʊ","B2","conj","despite the fact that","-e rağmen, gerçi","although, even if","<b>Though</b> it was raining, we went for a walk.","She felt tired, <b>though</b> she didn't show it.","Doğ","Güneş <b>Doğ</b> (though)masına <b>rağmen</b> hava hala buz gibiydi."
"enormous","ɪˈnɔː.məs","B1","adj","extremely large","kocaman, muazzam","huge, vast","The project requires an <b>enormous</b> amount of funding.","He has an <b>enormous</b> capacity for work.","İnermiz","O <b>kocaman</b> dağdan aşağı kayakla <b>İnermiz</b> (enormous) inmez miyiz diye tartışırken çığ düştü."
"culpable","ˈkʌl.pə.bəl","C2","adj","deserving to be blamed","kusurlu, kabahatli","blameworthy, guilty","He was held <b>culpable</b> for the accident.","The jury found him <b>culpable</b> of negligence.","Kalbi Pırpır","Mahkemede <b>kusurlu</b> bulunan sanığın <b>Kalbi Pırpır</b> (culpable) atıyordu, çünkü hapse gireceğini anlamıştı."
"courtesy","ˈkɜː.tə.si","C1","noun","polite behavior","nezaket, kibarlık","politeness, civility","He held the door open out of <b>courtesy</b>.","It's common <b>courtesy</b> to reply to emails promptly.","Kort Ezi","Tenisçi, maçtan sonra <b>Kort</b>ta rakibini <b>Ezi</b>p (courtesy) geçmesine rağmen büyük bir <b>nezaket</b>le elini sıktı."
"bearing","ˈbeə.rɪŋ","C2","noun","relevance or connection","alaka, münasebet","relevance, connection","His past mistakes have no <b>bearing</b> on his current performance.","This evidence has a direct <b>bearing</b> on the case.","Berin","<b>Berin</b> (bearing) teyzenin anlattığı hikayenin bizim konuyla ne <b>alaka</b>sı var, hala anlamadım."
"plenty","ˈplen.ti","B1","pron","a large amount","bolca, çok","abundance, lots","We have <b>plenty</b> of time to catch the train.","There is <b>plenty</b> of food for everyone.","Pilen Ti","Markette <b>Pilen</b> (plan) <b>Ti</b>şörtlerinden (plenty) <b>bolca</b> var, herkese yetecek kadar alabilirsin."
"escalating","ˈes.kə.leɪ.tɪŋ","C1","adj","increasing rapidly","tırmanan, yükselen","increasing, intensifying","The <b>escalating</b> costs are a major concern.","We need to address the <b>escalating</b> violence in the region.","Eski Aletin","Tamirci, 'Bu <b>Eski Aletin</b> (escalating) tamir masrafı giderek <b>yükselen</b> bir fiyata mal oluyor, yenisini al' dedi."
"sobriety","səˈbraɪ.ə.ti","C2","noun","the state of being sober","ayıklık, ağırbaşlılık","temperance, seriousness","He is celebrating ten years of <b>sobriety</b>.","The solemn occasion demanded a certain <b>sobriety</b>.","Sobra Yedi","<b>Ayıklık</b> yemini eden adam, barda içki yerine koca bir <b>Sobra</b> (kobra) <b>Yedi</b> (sobriety) ama yine de ağzına alkol sürmedi."
"adjust","əˈdʒʌst","B2","verb","to change slightly to make it better","ayarlamak, uyum sağlamak","adapt, modify","You can <b>adjust</b> the height of the chair.","It took time to <b>adjust</b> to the new environment.","Acı Üst","Yemeğin <b>Acı</b>sı <b>Üst</b> (adjust) seviyeye çıkınca şef tadını dengelemek için baharatları yeniden <b>ayarlamak</b> zorunda kaldı."
"completion","kəmˈpliː.ʃən","B2","noun","the act of finishing something","tamamlama, bitirme","conclusion, finalization","The project is nearing <b>completion</b>.","Upon <b>completion</b> of the course, you will get a certificate.","Kamp İlişin","Askerler <b>Kamp</b>taki <b>İlişin</b> (completion) (işlerin) <b>tamamlama</b>sı bitince terhis oldular."
"accommodation","əˌkɒm.əˈdeɪ.ʃən","B1","noun","a place to live or stay","konaklama","lodging, housing","Hotel <b>accommodation</b> is included in the price.","We need to book <b>accommodation</b> for the conference.","Eka Model Şan","Mankenler defile için gittikleri şehirde, <b>Eka Model Şan</b> (accommodation) otelinde lüks bir <b>konaklama</b> ayarladılar."
"precisely","prɪˈsaɪs.li","B2","adv","exactly","tam olarak, kesinlikle","exactly, accurately","That is <b>precisely</b> what I meant.","The train arrived at 2:00 PM <b>precisely</b>.","Piresiz Li","Otel müdürü, 'Bu oda <b>Piresiz Li</b> (precisely) (mı)?' diye soran müşteriye 'Evet efendim, <b>kesinlikle</b> temiz' dedi."
"charity","ˈtʃær.ə.ti","B2","noun","giving help to the poor","hayır kurumu, yardımseverlik","philanthropy, benevolence","She donates a lot of money to <b>charity</b>.","The concert was held in aid of <b>charity</b>.","Çare Ti","Fakir adam 'Derdimin <b>Çare</b>si <b>Ti</b>caret (charity) değil, <b>yardımseverlik</b>tir' diyerek <b>hayır kurumu</b>na başvurdu."
"associate","əˈsoʊ.si.eɪt","B2","verb","to connect someone or something in your mind","ilişkilendirmek","connect, link","I always <b>associate</b> the smell of cookies with my grandmother.","He prefers not to <b>associate</b> with known criminals.","Aso Seyit","Kahvehanedeki herkes, masaya <b>Aso</b> (As) atan <b>Seyit</b> (associate) ile kumarı birbiriyle <b>ilişkilendirir</b>."
"dreck","drek","C2","noun","rubbish or trash (informal)","çerçöp, değersiz şey","trash, junk","I can't believe I watched that <b>dreck</b> on TV last night.","Don't waste your money on such <b>dreck</b>.","Direk","'Bu film tam bir <b>çerçöp</b>' diyen adam DVD'yi <b>Direk</b> (dreck) çöp kutusuna fırlattı."
"get around to it","ɡet əˈraʊnd tuː ɪt","C1","idiom","to do something you have intended to do for a long time","bir şeyi yapmaya anca fırsat bulmak","find time for","I finally <b>got around to it</b> and fixed the leaking tap.","I'll read your report when I <b>get around to it</b>.","Gezer Anca Tuvit","Adam o kadar meşgul ki, parkta <b>Gezer Anca Tuvit</b> (tweet) (get around to it) atmaya <b>fırsat bulabildi</b>."
"homicide","ˈhɒm.ɪ.saɪd","C2","noun","the killing of one person by another","adam öldürme, cinayet","murder, manslaughter","The police are investigating the case as a <b>homicide</b>.","He was charged with vehicular <b>homicide</b>.","Hami Sait","Komşularımız <b>Hami</b> ile <b>Sait</b> (homicide) kavga ederken iş büyüdü ve maalesef <b>cinayet</b>le sonuçlandı."
"remain","rɪˈmeɪn","B2","verb","to stay in the same place or condition","kalmak, sürdürmek","stay, continue","Please <b>remain</b> seated until the bus stops.","The details of the agreement <b>remain</b> confidential.","Rimeyin (Rimel)","Kadın ağlamasına rağmen gözündeki <b>Rimeyin</b> (Rimel) (remain) akmadan <b>kalması</b>na çok şaşırdı."
"negotiate","nəˈɡoʊ.ʃi.eɪt","B2","verb","to try to make an agreement","müzakere etmek","bargain, discuss","We need to <b>negotiate</b> a better price with the supplier.","They are trying to <b>negotiate</b> a peace treaty.","Ne Güçtü Et","Kasapla fiyatı <b>müzakere etmek</b> o kadar zordu ki, sonunda '<b>Ne Güçtü Et</b> (negotiate) almak be!' diye isyan ettim."
"maintenance","ˈmeɪn.tən.əns","B2","noun","the work needed to keep something in good condition","bakım, idame","upkeep, preservation","The car needs regular <b>maintenance</b>.","The website is down for scheduled <b>maintenance</b>.","Meyin Tınısı","Piyanist, piyanosunun <b>bakım</b>ını yaptırmazsa o güzel <b>Meyin Tınısı</b> (maintenance) bozulur diye korkuyordu."
"schedule","ˈʃed.juːl","A2","noun","a plan of activities","program, çizelge","timetable, agenda","Let me check my <b>schedule</b> to see if I'm free.","Everything is running according to <b>schedule</b>.","Seke Çul","Yarış atı <b>Seke</b> Seke <b>Çul</b> (schedule) üzerinde koşarken antrenör elindeki yarış <b>program</b>ına bakıyordu."
"go easy","ɡoʊ ˈiː.zi","C1","idiom","to treat someone gently","üstüne gitmemek, sakin davranmak","be gentle, lenient","<b>Go easy</b> on him, it's his first day.","You should <b>go easy</b> on the salt for your health.","Gol İzi","Kaleci hatalı gol yiyince arkadaşları 'Onun <b>üstüne gitmeyin</b>, formasındaki <b>Gol İzi</b> (go easy) zaten ona yetiyor' dediler."
"recreational","ˌrek.riˈeɪ.ʃən.əl","C1","adj","relating to enjoyment","eğlence amaçlı, dinlence","leisure, fun","The park is used for <b>recreational</b> activities.","He uses drugs for <b>recreational</b> purposes.","Renkleri Şen Al","Ressam, <b>eğlence amaçlı</b> yaptığı tablolar için dükkandan hep <b>Renkleri Şen Al</b> (recreational) diye sipariş verirdi."
"inventory","ˈɪn.vən.tɔː.ri","C1","noun","a detailed list of goods","envanter, stok listesi","stock, list","We usually take <b>inventory</b> at the end of the year.","The shop has a large <b>inventory</b> of spare parts.","İnven Tori","Depocu, raflardan aşağı <b>İnven</b> (inen) <b>Tori</b> (inventory) isimli boğayı sayarak <b>stok listesi</b>ne ekledi."
"cautious","ˈkɔː.ʃəs","B2","adj","avoiding unnecessary risks","temkinli, ihtiyatlı","careful, wary","He is very <b>cautious</b> about spending money.","You should be <b>cautious</b> when driving in the snow.","Koşar Süs","Süslü kadın topuklu ayakkabıyla <b>Koşar Süs</b> (cautious) bozulmasın diye çok <b>temkinli</b> ve yavaş adımlar atıyordu."
"prosper","ˈprɒs.pər","C1","verb","to be successful usually financially","zenginleşmek, işleri yolunda gitmek","thrive, flourish","The business began to <b>prosper</b> after the new management took over.","May you live long and <b>prosper</b>.","Puro Süper","İşleri <b>yolunda giden</b> ve <b>zenginleşen</b> patron, koltuğuna yaslanıp 'Bu <b>Puro Süper</b> (prosper)!' diyerek keyif çattı."
"benefactor","ˈben.ɪ.fæk.tər","C2","noun","someone who gives money to help","hayırsever, bağışçı","patron, donor","An anonymous <b>benefactor</b> donated the library funds.","The university honored its main <b>benefactor</b>.","Beni Faktör","Zengin adam, 'Bu projedeki başarı <b>faktör</b>ü <b>Beni</b> (benefactor) mutlu etmek' diyerek okula dev bir <b>bağış</b> yaptı."
"sustain","səˈsteɪn","C1","verb","to cause or allow something to continue","sürdürmek, devam ettirmek","maintain, uphold","It is difficult to <b>sustain</b> this level of performance.","The soil cannot <b>sustain</b> these crops.","Siz Deyin","Bu zor şartlarda yaşamı <b>sürdürmek</b> imkansız, ne yapalım <b>Siz Deyin</b> (sustain) de bilelim."
"arise","əˈraɪz","C1","verb","to happen","ortaya çıkmak","emerge, occur","Problems may <b>arise</b> during the installation.","If the opportunity <b>arise</b>s, I will take it.","Arayız (Arazi)","Bu boş <b>Arazi</b>de (arise) kazı yaparken birdenbire tarihi eserler <b>ortaya çıkmaya</b> başladı."
"forge","fɔːdʒ","C2","verb","to make an illegal copy","sahtesini yapmak","falsify, counterfeit","He tried to <b>forge</b> his father's signature.","It is a serious crime to <b>forge</b> banknotes.","Borç","Adam bankadan <b>Borç</b> (forge) alabilmek için babasının imzasının <b>sahtesini yaptı</b>."
"compensate","ˈkɒm.pen.seɪt","C1","verb","to pay someone money because they have suffered","tazmin etmek, telafi etmek","reimburse, make up for","The company will <b>compensate</b> you for the damage.","Nothing can <b>compensate</b> for the loss of a loved one.","Kamyon Seyit","<b>Kamyon</b>cu <b>Seyit</b> (compensate), freni patlayıp dükkana girince tüm zararı cebinden <b>tazmin etmek</b> zorunda kaldı."
"evil","ˈiː.vəl","B1","adj","morally bad","kötü, şeytani","wicked, malevolent","In the movie, the hero fights an <b>evil</b> wizard.","He claims he did it to prevent a greater <b>evil</b>.","Ev İl","O adam o kadar <b>kötü</b> biri ki, girdiği her <b>Ev</b>i, her <b>İl</b>i (evil) karıştırıp insanları birbirine düşürür."
"consist","kənˈsɪst","B2","verb","to be made of","oluşmak, meydana gelmek","comprise, be composed of","The team <b>consist</b>s of five members.","My breakfast usually <b>consist</b>s of coffee and toast.","Kan Sist","İnsan vücudu karmaşık <b>Kan</b> damarları ve sinir <b>Sist</b>emlerinden (consist) <b>oluşur</b>."
"desire","dɪˈzaɪər","B2","noun","a strong feeling of wanting to have something","arzu, istek","wish, craving","He has a strong <b>desire</b> to win the championship.","Her <b>desire</b> for knowledge is inspiring.","Diz Ayır","Adamın kadına olan <b>arzu</b>su o kadar fazlaydı ki, dans ederken kulağına 'Lütfen <b>Diz</b>lerini <b>Ayır</b> (desire)' diye fısıldadı."
"eager","ˈiː.ɡər","B2","adj","wanting very much to do or have something","hevesli, istekli","keen, enthusiastic","She is <b>eager</b> to start her new job.","The children were <b>eager</b> for the holidays to begin.","İyi Gir","Antrenör oyuncusuna: 'Sahaya <b>İyi Gir</b> (eager), herkese ne kadar <b>hevesli</b> olduğunu göster!' diye bağırdı."
"household","ˈhaʊs.hoʊld","B2","noun","a group of people, often a family, who live together","hane halkı, ev ahalisi","family, home","The whole <b>household</b> was awake early.","Cleaning products are common <b>household</b> items.","Havuz Hol","Tüm <b>hane halkı</b> toplanmış, evin <b>Havuz</b>lu <b>Hol</b>ünde (household) parti veriyor."
"landscape","ˈlænd.skeɪp","B2","noun","a large area of countryside","manzara, peyzaj","scenery, terrain","The rural <b>landscape</b> is changing rapidly.","He painted a beautiful mountain <b>landscape</b>.","Len Kep","Çiftçi yanındaki çocuğa '<b>Len Kep</b> (landscape) şapkamı ver de şu güzel <b>manzara</b>yı gözüme güneş girmeden izleyeyim' dedi."
"pace","peɪs","B2","noun","the speed at which someone or something moves","hız, tempo","speed, tempo","We walked at a steady <b>pace</b>.","The <b>pace</b> of technological change is amazing.","Pes","Atlet o kadar yüksek bir <b>hız</b>la koştu ki, rakipleri sonunda '<b>Pes</b> (pace)! Bu <b>tempo</b>ya yetişilmez' dedi."
"possess","pəˈzes","C1","verb","to have or own something","sahip olmak","own, have","He was found to <b>possess</b> illegal drugs.","She <b>possess</b>es a rare talent for music.","Poz Es","Fotoğrafçı mankene 'Öyle bir yeteneğe <b>sahip</b>sin ki, verdiğin her <b>Poz</b>da <b>Es</b> (possess) rüzgarı gibi büyüleyici oluyorsun' dedi."
"rapidly","ˈræp.ɪd.li","B2","adv","in a fast or sudden way","hızla, süratle","quickly, fast","The disease is spreading <b>rapidly</b>.","The technology has evolved <b>rapidly</b> in recent years.","Rap İtli","Şarkıcı sahnede <b>Rap</b>i <b>İtli</b> (rapidly) kopuklu, agresif bir tarzda söyleyince ünü <b>hızla</b> yayıldı."
"remark","rɪˈmɑːk","B2","noun","something that you say","yorum, düşünce, beyan","comment, statement","He made a rude <b>remark</b> about her appearance.","The chairman made a few opening <b>remark</b>s.","Rimar (Mimar)","Ünlü <b>Mimar</b> (remark) binayı incelerken yaptığı sert <b>yorum</b>larla mühendisleri terletti."
"seek","siːk","B2","verb","to try to find or get something","aramak, peşinde koşmak","search for, look for","They came here to <b>seek</b> shelter from the rain.","You should <b>seek</b> medical advice if symptoms persist.","Sık","Dişini <b>Sık</b> (seek) ve ormanda kaybolan hazineyi <b>aramaya</b> devam et, pes etme!"
"emit","iˈmɪt","C1","verb","to send out a beam, noise, smell, or gas","yaymak (gaz, ışık, koku)","release, discharge","The machine <b>emit</b>s a high-pitched sound.","Cars <b>emit</b> harmful gases into the atmosphere.","Ümit","Arkadaşımız <b>Ümit</b> (emit), yediği yumurtalı sandviçten sonra odaya dayanılmaz bir koku <b>yaymaya</b> başladı."
"grind","ɡraɪnd","C1","verb","to make something into small pieces or a powder","öğütmek, ufalamak","crush, mill","You need to <b>grind</b> the coffee beans fresh.","They <b>grind</b> wheat into flour at the mill.","Kırayım (Gırayım)","Fındıkları dişlerimle <b>Kırayım</b> (grind) da un gibi <b>öğüteyim</b> sana."
"leading","ˈliː.dɪŋ","B2","adj","very important or most important","önde gelen, lider","main, chief","She is a <b>leading</b> expert in her field.","Inflation is the <b>leading</b> cause of the crisis.","Liding (Lider)","Takımın <b>Lider</b>i (leading) olarak <b>önde gelen</b> oyuncu sensin, herkes seni takip edecek."
"moreover","ˌmɔːrˈoʊ.vər","B2","adv","also and more importantly","üstelik, dahası, ayrıca","furthermore, besides","The rent is cheap, and <b>moreover</b>, the location is perfect.","He is smart, and <b>moreover</b>, incredibly hardworking.","Mor Ovar","Kadın düştü dizi <b>Mor</b>ardı, <b>üstelik</b> kocası da 'Gelip <b>Ovar</b> (moreover) mısın?' demesine rağmen kılını kıpırdatmadı."
"questionable","ˈkwes.tʃə.nə.bəl","C2","adj","not certain, or likely to be wrong","şüpheli, kuşkulu","dubious, suspect","His motives for helping are <b>questionable</b>.","The validity of the results is highly <b>questionable</b>.","Küs Çene Bil","Bu adamın her şeye <b>Küs</b>en <b>Çene</b>sini <b>Bil</b> (questionable) ki sözleri <b>şüpheli</b>dir, güvenilmez."
"object","əbˈdʒekt","B2","verb","to feel or express opposition to something","itiraz etmek, karşı çıkmak","oppose, protest","I <b>object</b> to being treated like a child.","No one <b>object</b>ed to the proposal.","Objektif","Hakim, 'Bu <b>Objekt</b>if (object) kanıtlara kimse <b>itiraz edemez</b>!' diyerek kararını verdi."
"pollutant","pəˈluː.tənt","C1","noun","a substance that pollutes","kirletici madde","contaminant, waste","Carbon dioxide is a major air <b>pollutant</b>.","Factories must filter out harmful <b>pollutant</b>s.","Bolu Tanıt","'<b>Bolu</b>yu <b>Tanıt</b>' (pollutant) projesi, fabrikaların göle döktüğü <b>kirletici madde</b>ler yüzünden turist çekemedi."
"surge","sɜːdʒ","C1","noun","a sudden and great increase","ani artış, dalgalanma","rise, boost","There has been a <b>surge</b> in house prices.","We felt a sudden <b>surge</b> of excitement.","Şarj","Elektrik kesilip gelince voltajdaki <b>ani artış</b> yüzünden telefonumun <b>Şarj</b> (surge) aleti patladı."
"presence","ˈprez.əns","B2","noun","the fact that someone or something is in a place","varlık, mevcudiyet","existence, attendance","Her <b>presence</b> makes everyone nervous.","Tests revealed the <b>presence</b> of poison in the food.","Pire Sens","Yataktaki <b>Pire Sens</b>in (presence) <b>varlığın</b>dan rahatsız olup seni uykundan uyandırdı mı?"
"skeptic","ˈskep.tɪk","C2","noun","a person who doubts the truth","şüpheci kimse","doubter, cynic","He is a born <b>skeptic</b> about politics.","Climate change <b>skeptic</b>s are losing ground.","Sik (Sık) İptik","İp cambazı o kadar <b>şüpheci</b>ydi ki, ipe çıkmadan önce 'Bu ipi <b>Sık</b>ı <b>İptik</b> (skeptic) mi?' diye defalarca kontrol etti."
"substance","ˈsʌb.stəns","B2","noun","material with particular physical characteristics","madde, cisim","material, matter","Rubber is a flexible <b>substance</b>.","Illegal <b>substance</b>s were found in the car.","Sapı Teni Süs","Adamın elindeki bastonun <b>Sapı</b>, <b>Teni</b> ve <b>Süs</b>ü (substance) çok garip bir <b>madde</b>den yapılmıştı."
"tuition","tuːˈɪʃ.ən","C1","noun","teaching, especially in small groups","özel ders, okul harcı","instruction, schooling","He pays high <b>tuition</b> fees for university.","She gives private <b>tuition</b> in math.","Tüy İşin","Öğrenci babasına 'Baba bu okulun <b>Tüy</b> kadar hafif <b>İşin</b> (tuition) yok, <b>okul harcı</b> çok ağır!' diye dert yandı."
"furthermore","ˌfɜː.ðəˈmɔːr","B2","adv","in addition; more importantly","ayrıca, buna ek olarak","moreover, in addition","He is old and unpopular. <b>Furthermore</b>, he has no experience.","The plan is too expensive, and <b>furthermore</b>, it's risky.","Fuarda Mor","Manken <b>Fuarda Mor</b> (furthermore) bir elbise giydi, <b>ayrıca</b> saçlarını da mora boyatmıştı."
"substantially","səbˈstæn.ʃəl.i","C1","adv","to a large degree","önemli ölçüde, epeyce","significantly, considerably","The new model is <b>substantially</b> faster.","House prices have risen <b>substantially</b>.","Sapı Teni Şallı","Parktaki sapık, <b>Sapı Teni Şallı</b> (substantially) bir kıyafet giyerek görünümünü <b>önemli ölçüde</b> değiştirmişti."
"beverage","ˈbev.ər.ɪdʒ","C1","noun","a drink of any type","içecek, meşrubat","drink, liquid","Alcoholic <b>beverage</b>s are not served here.","Hot <b>beverage</b>s like tea and coffee are available.","Be Ver İç","Susuzluktan yanan adam garsona 'Ne olursa olsun <b>Be Ver İç</b> (beverage)elim, soğuk bir <b>içecek</b> getir' diye yalvardı."
"cluster","ˈklʌs.tər","C1","noun","a group of similar things close together","küme, salkım","group, bunch","There is a <b>cluster</b> of galaxies nearby.","A <b>cluster</b> of people stood around the entrance.","Kıl Tester","Marangoz, bir <b>küme</b> tahtayı kesmek için elindeki <b>Kıl Tester</b>e (cluster) ile işe girişti."
"to join together","dʒɔɪn təˈɡeð.ər","B1","phrasal verb","to unite","birleşmek, kenetlenmek","unite, combine","We must <b>join together</b> to fight injustice.","The two rivers <b>join together</b> near the city.","Coin (Jeton) Tugader (Tugay)","Askerler <b>Coin</b> (Jeton) atıp yazı tura oynarken komutan 'Tüm <b>Tugay Der</b>hal (together) <b>birleşin</b>!' diye emir verdi."
"condensed","kənˈdenst","C1","adj","made thicker by removing water","yoğunlaştırılmış","concentrated, compressed","Sweetened <b>condensed</b> milk is used in desserts.","This is a <b>condensed</b> version of the report.","Kan Dans","Vampirler kulübünde pist o kadar kalabalıktı ki, herkes <b>Kan Dans</b>ı (condensed) yaparken ter kokusu <b>yoğunlaşmıştı</b>."
"contemporary","kənˈtem.pə.rər.i","B2","adj","existing or happening now","çağdaş, güncel","modern, current","She likes <b>contemporary</b> art and music.","The museum features <b>contemporary</b> design.","Kan Tamper","<b>Çağdaş</b> sanat müzesinde sergilenen '<b>Kan</b>lı <b>Tamper</b>' (contemporary) adlı eser güncel sanatın en iyi örneğiydi."
"cultivate","ˈkʌl.tɪ.veɪt","C1","verb","to try to develop and improve something","geliştirmek, ekip biçmek","grow, develop","He tried to <b>cultivate</b> a relationship with the boss.","Farmers <b>cultivate</b> crops in the fertile valley.","Kalite Vet (Veteriner)","Çiftçi 'Tarlayı iyi <b>ekip biçersem</b>, ürünün <b>Kalite</b>sini <b>Vet</b>eriner (cultivate) bile kıskanır, hayvanlara yedirmez' dedi."
"aid","eɪd","B2","noun","help or support","yardım","help, assistance","They sent humanitarian <b>aid</b> to the war zone.","He walks with the <b>aid</b> of a cane.","Ayı (Ayid)","Ormanda yaralanan adama koca bir <b>Ayı</b> d (aid) gelip <b>yardım</b> etti, onu sırtında taşıdı."
